Fleet,Fleet_Name,Yr,Catch
1,F_NonTarLL,1995,2289.17
1,F_NonTarLL,1996,1326.62
1,F_NonTarLL,1997,1712.69
1,F_NonTarLL,1998,2149.97
1,F_NonTarLL,1999,2954.28
1,F_NonTarLL,2000,1992.5
1,F_NonTarLL,2001,1967.03
1,F_NonTarLL,2002,2251.99
1,F_NonTarLL,2003,1972.2
1,F_NonTarLL,2004,2499.88
1,F_NonTarLL,2005,1452.91
1,F_NonTarLL,2006,1387.72
1,F_NonTarLL,2007,1004.99
1,F_NonTarLL,2008,1284.02
1,F_NonTarLL,2009,1114.27
1,F_NonTarLL,2010,1093.71
1,F_NonTarLL,2011,694.864
1,F_NonTarLL,2012,958.103
1,F_NonTarLL,2013,713.733
1,F_NonTarLL,2014,719.126
1,F_NonTarLL,2015,555.613
1,F_NonTarLL,2016,484.842
1,F_NonTarLL,2017,287.938
1,F_NonTarLL,2018,309
1,F_NonTarLL,2019,413.448
1,F_NonTarLL,2020,327.83
1,F_NonTarLL,2021,414.514
1,F_NonTarLL,2022,358.198
1,F_NonTarLL,2023,287.121
2,F_AssoPS,1995,2.36113
2,F_AssoPS,1996,53.5809
2,F_AssoPS,1997,43.6948
2,F_AssoPS,1998,113.581
2,F_AssoPS,1999,170.52
2,F_AssoPS,2000,59.2873
2,F_AssoPS,2001,98.0147
2,F_AssoPS,2002,41.2117
2,F_AssoPS,2003,44.9372
2,F_AssoPS,2004,55.02
2,F_AssoPS,2005,33.2032
2,F_AssoPS,2006,14.0822
2,F_AssoPS,2007,15.2981
2,F_AssoPS,2008,20.9205
2,F_AssoPS,2009,3.71219
2,F_AssoPS,2010,7.28598
2,F_AssoPS,2011,15.1801
2,F_AssoPS,2012,8.27875
2,F_AssoPS,2013,8.8392
2,F_AssoPS,2014,10.4208
2,F_AssoPS,2015,7.21705
2,F_AssoPS,2016,10.2228
2,F_AssoPS,2017,12.7678
2,F_AssoPS,2018,19.7027
2,F_AssoPS,2019,19.648
2,F_AssoPS,2020,18.36
2,F_AssoPS,2021,11.8617
2,F_AssoPS,2022,28.9766
2,F_AssoPS,2023,4.10429
3,F_UnAssoPS,1995,3.6755
3,F_UnAssoPS,1996,22.7277
3,F_UnAssoPS,1997,48.8519
3,F_UnAssoPS,1998,24.7049
3,F_UnAssoPS,1999,8.54987
3,F_UnAssoPS,2000,9.16132
3,F_UnAssoPS,2001,5.20215
3,F_UnAssoPS,2002,9.75679
3,F_UnAssoPS,2003,5.6792
3,F_UnAssoPS,2004,6.75568
3,F_UnAssoPS,2005,11.2669
3,F_UnAssoPS,2006,6.42156
3,F_UnAssoPS,2007,6.38402
3,F_UnAssoPS,2008,5.03165
3,F_UnAssoPS,2009,4.05752
3,F_UnAssoPS,2010,7.80406
3,F_UnAssoPS,2011,13.6483
3,F_UnAssoPS,2012,10.1839
3,F_UnAssoPS,2013,12.4942
3,F_UnAssoPS,2014,11.5583
3,F_UnAssoPS,2015,12.6222
3,F_UnAssoPS,2016,11.7699
3,F_UnAssoPS,2017,17.9288
3,F_UnAssoPS,2018,13.9807
3,F_UnAssoPS,2019,18.2325
3,F_UnAssoPS,2020,13.6715
3,F_UnAssoPS,2021,9.86588
3,F_UnAssoPS,2022,18.38
3,F_UnAssoPS,2023,0.929825
